ID,Reached_3w,Reached_3m,Tenure_In_Months,Date_Joined,FUA_Balance,Number_Of_Services,Has_Payroll,Income,Has_Investment,Has_Visa,VISA_balance,Has_mortgage,Has_Deposit,Number_Transactions,Age,City
7707763,1,0,6,12/7/2020,34603.56407,1,1,NA,0,1,0,0,1,2,67,BURNABY                                                                                             
6609519,0,0,6,3/28/2020,499801.1838,2,1,NA,0,1,0,0,1,0,71,VICTORIA                                                                                            
2824794,1,0,6,4/10/2020,461761.816,1,0,NA,0,1,1476.823307,0,1,0,50,SURREY                                                                                              
6717785,0,0,6,5/13/2020,22733.74002,1,0,NA,0,1,1708.962918,0,1,0,54,SURREY                                                                                              
3903457,0,0,6,12/22/2020,27925.47261,2,1,NA,0,1,1213.809671,0,1,3,66,VANCOUVER                                                                                           
9112457,0,0,6,9/4/2020,10914.14775,1,1,NA,0,1,1891.331945,0,1,3,66,VANCOUVER                                                                                           
5239209,1,0,6,1/1/2021,82475.43125,3,1,NA,1,1,0,0,1,1,51,COQUITLAM                                                                                           
5560226,0,0,6,7/19/2020,23820.17124,1,1,NA,1,0,0,0,1,2,45,VANCOUVER                                                                                           
722319,0,0,6,12/2/2020,28833.88217,2,1,NA,0,1,0,0,1,6,50,BURNABY                                                                                             
7924831,0,1,6,7/9/2020,487939.1506,3,1,NA,0,0,0,0,1,0,56,SURREY                                                                                              
7523043,0,0,6,5/23/2020,906863.434,4,0,NA,0,1,0,0,1,9,53,SURREY                                                                                              
2046927,1,0,6,4/16/2020,283502.5002,1,1,NA,0,1,295.2802065,0,1,4,64,NORTH VANCOUVER                                                                                     
4697552,1,0,6,12/12/2020,611744.2627,5,0,NA,0,0,0,0,1,4,36,SURREY                                                                                              
3472247,1,0,6,2/16/2021,82398.49607,1,1,NA,0,1,162.6036768,0,1,4,70,NORTH VANCOUVER                                                                                     
3730263,0,0,6,7/8/2020,35594.27143,1,1,NA,0,0,0,0,1,14,64,BURNABY                                                                                             
964579,0,0,6,2/10/2021,42900.60851,2,0,NA,0,0,0,0,1,23,76,RICHMOND                                                                                            
4042429,1,0,6,1/5/2021,31863.6489,3,0,NA,0,0,0,0,1,25,47,BURNABY                                                                                             
162892,1,0,6,5/28/2020,26025.89905,3,0,NA,0,0,0,0,1,53,65,SURREY                                                                                              
4315128,0,0,6,8/25/2020,35979.59864,1,1,124394.7906,0,1,0,0,1,5,51,WEST VANCOUVER                                                                                      
1376904,0,0,6,4/8/2020,499618.4968,1,1,NA,0,0,0,0,1,2,57,PORT COQUITLAM                                                                                      
7036497,1,0,6,5/6/2020,470776.8908,1,1,NA,0,1,920.7288287,0,1,17,53,RICHMOND                                                                                            
2620743,0,0,6,4/22/2020,40852.51649,1,1,92403.30212,0,1,1376.52836,0,1,5,41,VICTORIA                                                                                            
4718340,1,0,6,3/25/2020,50102.96463,1,1,NA,0,1,0,0,1,20,52,COQUITLAM                                                                                           
4647968,1,0,6,4/16/2020,481531.3768,3,1,NA,0,0,0,0,1,0,46,PORT MOODY                                                                                          
1449670,1,0,6,1/21/2021,16322.75763,2,1,NA,0,1,0,0,1,0,48,MISSION                                                                                             
5900235,0,0,6,11/5/2020,469927.5879,3,0,NA,0,1,1381.321233,0,1,1,59,SAANICHTON                                                                                          
7767474,0,0,6,6/2/2020,49302.99775,1,1,NA,0,1,0,0,1,100,43,BURNABY                                                                                             
6810979,0,0,6,4/9/2020,467436.2092,2,1,NA,1,1,0,0,1,12,51,NEW WESTMINSTER                                                                                     
5762516,0,1,6,8/31/2020,8669.459328,1,1,NA,0,0,0,0,1,0,83,VANCOUVER                                                                                           
3129017,0,0,6,7/16/2020,21369.55006,1,1,NA,0,1,0,0,1,20,47,PITT MEADOWS                                                                                        
2272494,0,0,6,12/8/2020,34752.15253,4,0,NA,0,1,1338.137106,0,1,0,43,SURREY                                                                                              
107540,1,0,6,4/27/2020,776757.3157,1,1,NA,0,1,0,0,1,8,71,VANCOUVER                                                                                           
9773346,1,0,6,4/24/2020,491250.7494,4,0,NA,0,1,1314.278862,0,1,0,65,SEATTLE                                                                                             
5739182,1,0,6,12/22/2020,1562421.425,2,1,NA,0,1,1627.196315,0,1,3,49,SURREY                                                                                              
4106469,0,0,6,6/20/2020,695233.8728,2,0,NA,0,1,0,0,1,3,36,VANCOUVER                                                                                           
6731739,0,0,6,11/5/2020,32210.64025,2,1,NA,0,0,0,0,1,0,63,CHILLIWACK                                                                                          
5875093,1,0,6,4/15/2020,516332.9562,5,1,NA,0,1,0,0,1,0,65,DELTA                                                                                               
2016609,1,0,6,12/3/2020,61766.18904,3,1,NA,0,1,0,0,1,0,63,POWELL RIVER                                                                                        
986172,0,0,6,12/5/2020,43899.28422,2,1,NA,1,1,1844.36295,0,1,4,62,RICHMOND                                                                                            
6677270,0,0,6,2/11/2021,804.6688672,1,0,NA,0,0,0,0,1,0,47,DELTA                                                                                               
6697354,0,0,6,1/12/2021,47084.93449,2,1,NA,0,1,0,0,1,3,68,ESQUIMALT                                                                                           
9389196,0,0,6,1/20/2021,55610.3753,3,0,NA,0,0,0,0,1,18,60,LANGLEY                                                                                             
9156787,0,0,6,7/16/2020,31252.8429,3,1,NA,0,1,1797.146657,0,1,1,45,SURREY                                                                                              
5213857,0,0,6,4/22/2020,1331366.031,1,0,NA,0,1,2173.643787,0,1,6,52,SURREY                                                                                              
8535615,1,0,6,12/8/2020,23845.31991,5,1,NA,1,1,0,0,1,1,37,MAPLE RIDGE                                                                                         
3999157,1,0,6,12/4/2020,16431.38771,4,1,NA,0,1,46.12517619,0,1,2,89,VANCOUVER                                                                                           
4463448,0,0,6,9/16/2020,32000.66196,1,0,NA,1,1,0,0,1,1,54,VANCOUVER                                                                                           
4852931,0,0,6,8/13/2020,16388.70607,2,1,NA,1,1,0,0,1,0,40,SURREY                                                                                              
8194145,0,0,6,5/6/2020,39252.47069,2,1,NA,0,1,920.7288287,0,1,15,53,RICHMOND                                                                                            
641315,0,0,6,2/9/2021,375984.9329,2,0,NA,0,1,0,0,1,0,55,DELTA                                                                                               
7692142,0,0,6,1/8/2021,667.0915464,3,0,NA,0,1,0,0,1,4,32,DELTA                                                                                               
5251914,0,1,6,7/30/2020,47085.33366,2,1,94196.37553,1,1,1779.789345,0,1,13,44,VANCOUVER                                                                                           
3572799,1,0,6,6/2/2020,14343.17015,3,1,NA,0,1,0,0,1,11,28,MISSION                                                                                             
4694711,0,0,6,2/5/2021,16668.48876,1,1,NA,0,1,861.6070699,0,1,0,69,SURREY                                                                                              
798446,0,0,6,4/30/2020,46671.12096,1,1,NA,0,0,0,0,1,12,54,VANCOUVER                                                                                           
1294313,0,0,6,5/25/2020,933727.648,1,1,NA,0,1,256.3379487,0,1,1,83,SURREY                                                                                              
4836847,0,1,6,6/16/2020,10060.55247,4,0,NA,0,1,0,0,1,91,62,VANCOUVER                                                                                           
7924957,0,0,6,4/17/2020,475226.6605,3,1,NA,1,1,0,0,1,0,42,DELTA                                                                                               
