,ID,Reached_3w,Reached_3m,Tenure_In_Months,Date_Joined,FUA_Balance,Number_Of_Services,Has_Payroll,Income,Has_Investment,Has_Visa,VISA_balance,Has_mortgage,Has_Deposit,Number_Transactions,Age,City,Unnamed: 17
5747,8171069,1,0,3,3/25/2020,500000,2,0,,0,1,0,1,1,0,67,BURNABY                                                                                             ,
5748,8175074,0,0,3,7/30/2020,40.45,1,1,,1,0,0,0,1,0,60,VANCOUVER                                                                                           ,
5749,8175182,1,0,3,12/4/2020,2106463.43,3,0,,0,0,0,0,1,1,60,MAPLE RIDGE                                                                                         ,
5750,8176404,0,0,3,7/17/2020,2.25,1,1,,1,1,0,0,1,4,66,VANCOUVER                                                                                           ,
5751,8176801,0,0,3,5/16/2020,1811.6,1,0,,1,1,0,0,1,6,40,COQUITLAM                                                                                           ,
5752,8180861,0,0,3,8/20/2020,45,1,0,,1,0,0,0,1,0,55,SURREY                                                                                              ,
5753,8180878,0,1,3,8/17/2020,1113.24,3,0,,0,1,143.3118428,0,1,5,49,SQUAMISH                                                                                            ,
5754,8180951,1,0,3,12/17/2020,958,1,0,,0,0,0,0,1,0,57,COQUITLAM                                                                                           ,
5755,8181880,0,0,3,11/3/2020,1212.14,3,0,,1,0,0,0,1,72,37,SQUAMISH                                                                                            ,
5756,8182274,1,0,3,12/14/2020,601612.19,3,1,,0,0,0,0,1,1,46,BURNABY                                                                                             ,
5757,8184550,0,0,3,5/14/2020,2000.19,1,1,,0,1,1834.298291,0,1,1,42,ABBOTSFORD                                                                                          ,
5758,8187445,1,0,3,4/17/2020,448933.5778,3,1,,1,1,0,1,1,15,60,VANCOUVER                                                                                           ,
5759,8187741,1,0,3,4/23/2020,483667.404,2,1,,0,1,1872.193506,1,1,129,47,CHILLIWACK                                                                                          ,
5760,8191200,0,0,3,3/27/2020,1159.56,1,1,,0,0,0,0,1,2,73,MAYNE ISLAND                                                                                        ,
5761,8191386,0,0,3,8/26/2020,460,1,0,,0,1,1018.117637,0,1,0,40,SQUAMISH                                                                                            ,
5762,8191733,0,1,3,8/16/2020,702314.92,3,0,,1,1,0,0,1,3,39,VANCOUVER                                                                                           ,
5763,8193462,0,0,3,5/28/2020,784204.8494,2,0,176325.0942,0,1,0,1,1,0,42,ABBOTSFORD                                                                                          ,
5764,8194492,0,0,3,12/11/2020,105843.21,2,0,,0,0,0,0,1,0,71,COQUITLAM                                                                                           ,
5765,8196358,0,0,3,6/1/2020,1571.38,2,0,,0,1,0,0,1,4,50,CHILLIWACK                                                                                          ,
5766,8201123,0,0,3,1/15/2021,525115.17,4,0,,0,1,163.8617068,0,1,0,45,RICHMOND                                                                                            ,
5767,8202270,0,0,3,4/2/2020,541087.3874,1,1,,1,1,1791.791215,1,1,9,54,BURNABY                                                                                             ,
5768,8202917,0,0,3,7/13/2020,97012.24,1,1,,0,1,0,0,1,0,59,VANCOUVER                                                                                           ,
5769,8203220,0,0,3,9/4/2020,3962.28,2,0,,0,1,0,0,1,18,36,ABBOTSFORD                                                                                          ,
5770,8203490,0,0,3,12/5/2020,556.36,2,1,,1,1,1033.804455,0,1,19,32,MAPLE RIDGE                                                                                         ,
5771,8203673,0,0,3,6/15/2020,4339.18,3,0,,0,1,2141.413967,0,1,20,44,NORTH VANCOUVER                                                                                     ,
5772,8208036,0,0,3,1/9/2021,1216542.06,3,0,,1,1,1319.453418,0,1,1,59,VICTORIA                                                                                            ,
5773,8211072,0,0,3,2/18/2021,15,1,0,,0,0,0,0,1,0,36,RICHMOND                                                                                            ,
5774,8212319,0,0,3,5/7/2020,656.82,2,0,,0,0,0,0,1,48,36,SURREY                                                                                              ,
5775,8213454,0,0,3,8/15/2020,8474.88,4,1,,0,0,0,0,1,85,56,NORTH VANCOUVER                                                                                     ,
5776,8214887,0,0,3,2/17/2021,498478.01,2,0,,0,1,0,0,1,2,51,ABBOTSFORD                                                                                          ,
5777,8216733,1,0,3,12/26/2020,1000,1,1,,1,1,1923.174928,0,1,31,64,BOWEN ISLAND                                                                                        ,
5778,8218623,0,1,3,9/19/2020,492218.66,3,0,,0,1,0,0,1,0,28,BURNABY                                                                                             ,
5779,8218861,1,0,3,4/29/2020,699317.996,1,1,,0,0,0,1,1,7,61,NORTH VANCOUVER                                                                                     ,
5780,8219802,1,0,3,2/13/2021,5,2,0,258113.5526,0,1,0,0,1,0,40,VANCOUVER                                                                                           ,
5781,8220853,1,0,3,1/16/2021,1784.48,2,0,,0,0,0,0,1,0,81,SURREY                                                                                              ,
5782,8223044,0,1,3,5/20/2020,507600.7144,1,1,,0,1,268.1583722,1,1,19,42,SURREY                                                                                              ,
5783,8224046,1,0,3,12/11/2020,2482.59,3,1,,0,0,0,0,1,6,31,MAPLE RIDGE                                                                                         ,
5784,8225751,1,0,3,12/15/2020,360490.5,5,0,197764.5978,0,0,0,0,1,59,64,BURNABY                                                                                             ,
5785,8228855,0,1,3,7/9/2020,454924.92,2,1,,0,1,1116.963806,0,1,0,67,ABBOTSFORD                                                                                          ,
5786,8233045,0,0,3,8/28/2020,1355.59,3,1,,0,1,0,0,1,29,63,COQUITLAM                                                                                           ,
5787,8235190,0,0,3,6/9/2020,428305.6315,1,1,,0,1,0,1,1,1,60,PITT MEADOWS                                                                                        ,
5788,8238915,0,0,3,1/5/2021,1911.42,1,0,,0,0,0,0,1,60,88,NANAIMO                                                                                             ,
5789,8239156,0,1,3,7/14/2020,486550.14,2,1,,0,0,0,0,1,1,54,PORT COQUITLAM                                                                                      ,
5790,8239922,0,0,3,1/6/2021,1008579.95,2,0,,0,1,1789.685047,0,1,0,64,WILLIAMS LAKE                                                                                       ,
5791,8241005,0,1,3,8/9/2020,255.63,2,1,,0,1,2136.154693,0,1,2,54,CHILLIWACK                                                                                          ,
5792,8241178,0,1,3,6/29/2020,2095.38,2,1,,1,1,243.0013295,0,1,2,61,PORT COQUITLAM                                                                                      ,
